Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Buenos Aires,MAIPU,1,28,11253
Salta,SAN CARLOS,1,28,7779
Buenos Aires,PILA,0,28,4615
Chaco,1§ DE MAYO,0,27,14265
Salta,CHICOANA,0,27,24715
La Pampa,RANCUL,6,26,11090
La Pampa,CHAPALEUFU,5,26,12277
Neuquén,CHOS MALAL,4,26,18289
Neuquén,MINAS,3,26,9267
San Luis,GOBERNADOR DUPUY,2,26,14334
Chaco,PRESIDENCIA DE LA PLAZA,1,26,13938
La Rioja,CORONEL FELIPE VARELA,1,26,11371
La Rioja,GENERAL ANGEL V PEÑALOZA,1,26,3184
Buenos Aires,FLORENTINO AMEGHINO,0,26,10759
Chaco,LIBERTAD,0,26,13775
Jujuy,SANTA CATALINA,0,26,2641
La Rioja,ARAUCO,1,25,16251
Santiago del Estero,SARMIENTO,0,25,5034
Neuquén,ALUMINE,3,24,10173
Salta,CACHI,0,24,8928
Chubut,GAIMAN,3,23,12505
Buenos Aires,SAN CAYETANO,2,23,8918
Buenos Aires,GENERAL GUIDO,1,23,3157
Buenos Aires,HIPOLITO YRIGOYEN,1,23,10581
Chaco,2 DE ABRIL,1,23,8310
Corrientes,ITATI,1,23,11946
Río Negro,PICHI MAHUIDA,1,23,16493
Santa Cruz,LAGO ARGENTINO,1,23,25384
Mendoza,LA PAZ,0,23,12018
Santiago del Estero,AGUIRRE,0,23,8959
La Pampa,ATREUCO,5,22,11053
Jujuy,TUMBAYA,2,22,5298
Corrientes,GENERAL ALVEAR,1,22,9051
Buenos Aires,LEZAMA,0,22,6170
Jujuy,SUSQUES,2,21,3966
Río Negro,PILCANIYEU,2,21,9309
Chaco,GENERAL BELGRANO,1,21,12807
Chubut,RIO SENGUER,1,21,6347
Salta,MOLINOS,1,21,5808
Santiago del Estero,RIVADAVIA,1,21,5314
La Pampa,PUELEN,0,21,11636
Buenos Aires,GENERAL LAVALLE,1,20,4846
Buenos Aires,TRES LOMAS,1,20,9090
Neuquén,AÑELO,1,20,18150
