provincia,nombre_depto,cantidad_bp,cantidad_ee_comun,poblacion_total,bp_cada_1000,ee_cada_1000
Mendoza,GUAYMALLEN,5,1030.0,320871,0.02,3.21
Misiones,LEANDRO N. ALEM,1,150.0,49391,0.02,3.04
San Juan,CHIMBAS,2,134.0,103772,0.02,1.29
Buenos Aires,ALMIRANTE BROWN,11,4686.0,583209,0.02,8.03
Chaco,COMANDANTE FERNANDEZ,2,306.0,101086,0.02,3.03
Formosa,PATIÑO,2,622.0,81600,0.02,7.62
Mendoza,GODOY CRUZ,3,444.0,194557,0.02,2.28
Mendoza,TUPUNGATO,1,46.0,41168,0.02,1.12
Misiones,CAPITAL,7,2219.0,391498,0.02,5.67
Salta,ROSARIO DE LERMA,1,50.0,50961,0.02,0.98
Tucumán,TAFI VIEJO,4,420.0,172877,0.02,2.43
Buenos Aires,LA MATANZA,16,15936.0,1837168,0.01,8.67
Buenos Aires,HURLINGHAM,2,292.0,185361,0.01,1.58
Buenos Aires,QUILMES,9,4140.0,631774,0.01,6.55
Buenos Aires,ESTEBAN ECHEVERRIA,3,630.0,337880,0.01,1.86
Buenos Aires,GENERAL PUEYRREDON,6,3240.0,660569,0.01,4.9
Buenos Aires,MALVINAS ARGENTINAS,5,1135.0,349401,0.01,3.25
Buenos Aires,ESCOBAR,2,464.0,256071,0.01,1.81
Buenos Aires,SAN NICOLAS,2,336.0,166657,0.01,2.02
Buenos Aires,MERLO,4,1420.0,581484,0.01,2.44
Buenos Aires,GENERAL RODRIGUEZ,1,106.0,142315,0.01,0.74
Chaco,GENERAL GUEMES,1,344.0,68429,0.01,5.03
San Juan,POCITO,1,69.0,72879,0.01,0.95
