provincia,nombre_depto,ee_comun,cantidad_bp
Buenos Aires,MAR CHIQUITA,60,1
Chaco,O HIGGINS,60,1
San Juan,SARMIENTO,60,1
Santa Fe,SAN JAVIER,59,3
Buenos Aires,SAN ANTONIO DE ARECO,59,2
Santiago del Estero,OJO DE AGUA,59,2
Córdoba,TULUMBA,59,1
San Juan,25 DE MAYO,59,0
San Luis,JUNIN,58,7
Buenos Aires,BRAGADO,58,4
Buenos Aires,CARLOS CASARES,58,3
Río Negro,AVELLANEDA,57,6
Buenos Aires,SALTO,57,2
Buenos Aires,GENERAL JUAN MADARIAGA,57,1
Corrientes,SALADAS,57,1
Santiago del Estero,SAN MARTIN,57,0
Buenos Aires,CORONEL PRINGLES,56,1
Santiago del Estero,QUEBRACHOS,56,1
Corrientes,EMPEDRADO,56,1
Catamarca,ANDALGALA,56,1
Buenos Aires,ENSENADA,55,5
Catamarca,SANTA ROSA,55,3
Jujuy,YAVI,55,2
Corrientes,SAN LUIS DEL PALMAR,55,1
Buenos Aires,EXALTACION DE LA CRUZ,55,0
San Luis,BELGRANO,53,2
Salta,SANTA VICTORIA,53,1
Córdoba,TOTORAL,53,0
Buenos Aires,ADOLFO ALSINA,52,2
Neuquén,ZAPALA,52,2
Chaco,12 DE OCTUBRE,52,1
Tucumán,GRANEROS,52,1
Mendoza,MALARGUE,52,1
Buenos Aires,ROJAS,52,1
Formosa,MATACOS,52,0
La Rioja,ROSARIO VERA PEÑALOZA,52,0
Santa Fe,BELGRANO,51,6
Buenos Aires,RAUCH,51,2
Buenos Aires,ARRECIFES,51,1
Buenos Aires,DAIREAUX,51,0
Buenos Aires,RAMALLO,50,4
Buenos Aires,ROQUE PEREZ,50,1
Salta,ROSARIO DE LERMA,50,1
Catamarca,EL ALTO,50,1
Corrientes,SAN COSME,50,1
Tucumán,TRANCAS,50,1
Buenos Aires,TORNQUIST,49,4
Chaco,SARGENTO CABRAL,49,3
Buenos Aires,CORONEL DORREGO,49,3
Jujuy,COCHINOCA,49,3
Salta,METAN,49,2
Buenos Aires,CARLOS TEJEDOR,49,2
Buenos Aires,RIVADAVIA,49,1
Buenos Aires,GENERAL ALVEAR,49,1
La Rioja,CHAMICAL,49,1
San Luis,LIBERTADOR GRL SAN MARTIN,49,1
Chaco,INDEPENDENCIA,49,0
Buenos Aires,MONTE,48,2
Jujuy,PALPALA,47,4
Mendoza,SANTA ROSA,47,2
Corrientes,SAN ROQUE,47,2
Tucumán,FAMAILLA,47,2
Buenos Aires,CARMEN DE ARECO,47,1
Chaco,SAN LORENZO,47,1
Buenos Aires,GENERAL PAZ,47,0
San Luis,CHACABUCO,46,6
Buenos Aires,PUAN,46,3
Salta,GENERAL GUEMES,46,3
Buenos Aires,SAAVEDRA,46,3
Buenos Aires,DOLORES,46,1
Mendoza,TUPUNGATO,46,1
La Rioja,GENERAL SAN MARTIN,46,0
Catamarca,VALLE VIEJO,45,4
Salta,ROSARIO DE LA FRONTERA,45,2
Buenos Aires,GUAMINI,44,5
San Juan,SANTA LUCIA,44,4
San Luis,CORONEL PRINGLES,44,4
Catamarca,POMAN,44,3
San Juan,VALLE FERTIL,44,2
Buenos Aires,COLON,44,1
Buenos Aires,TAPALQUE,44,1
La Rioja,GENERAL OCAMPO,44,0
Neuquén,LACAR,43,4
Buenos Aires,GENERAL VIAMONTE,43,2
Santiago del Estero,ATAMISQUI,43,1
Corrientes,SAN MARTIN,43,0
Entre Ríos,FELICIANO,42,0
Río Negro,SAN ANTONIO,41,4
La Rioja,GENERAL BELGRANO,40,2
Entre Ríos,ISLAS DEL IBICUY,40,1
Buenos Aires,GENERAL BELGRANO,40,0
Córdoba,MINAS,40,0
Catamarca,ANCASTI,40,0
Tucumán,TAFI DEL VALLE,39,2
Buenos Aires,VILLA GESELL,39,2
Buenos Aires,GENERAL LA MADRID,39,1
Buenos Aires,GENERAL LAS HERAS,39,1
Chaco,FRAY JUSTO SANTA MARIA DE ORO,39,1
Córdoba,POCHO,39,0
Buenos Aires,ADOLFO GONZALES CHAVES,38,2
Chaco,GENERAL DONOVAN,38,2
Santa Fe,GARAY,38,2
Santiago del Estero,GUASAYAN,38,0
San Juan,CALINGASTA,37,2
Tucumán,JUAN B ALBERDI,37,1
Misiones,CONCEPCION,37,1
Buenos Aires,BENITO JUAREZ,36,1
Catamarca,AMBATO,36,1
Corrientes,SAUCE,36,1
Buenos Aires,LEANDRO N. ALEM,35,3
Buenos Aires,PINAMAR,35,2
Tucumán,LA COCHA,35,1
La Pampa,REALICO,34,8
Buenos Aires,GENERAL ARENALES,34,2
Buenos Aires,SUIPACHA,34,1
Buenos Aires,LAPRIDA,34,1
La Pampa,UTRACAN,33,5
Buenos Aires,ALBERTI,33,2
Entre Ríos,SAN SALVADOR,33,2
Río Negro,25 DE MAYO,33,2
Neuquén,PEHUENCHES,33,2
Buenos Aires,PUNTA INDIO,33,1
La Rioja,FAMATINA,33,1
San Juan,ALBARDON,33,1
Corrientes,SAN MIGUEL,33,0
La Pampa,CONHELO,32,5
Jujuy,SANTA BARBARA,32,2
La Rioja,GENERAL JUAN F QUIROGA,32,0
Salta,IRUYA,32,0
Santiago del Estero,SILIPICA,32,0
Buenos Aires,GENERAL PINTO,31,4
Salta,CERRILLOS,31,2
Buenos Aires,CAPITAN SARMIENTO,31,1
Jujuy,TILCARA,31,1
San Juan,SAN MARTIN,30,3
San Juan,IGLESIA,30,2
Neuquén,HUILICHES,30,1
Buenos Aires,CASTELLI,30,1
San Juan,ANGACO,30,0
Catamarca,PACLIN,29,2
Corrientes,MBURUCUYA,29,0
Catamarca,FRAY MAMERTO ESQUIU,28,4
Salta,SAN CARLOS,28,1
Buenos Aires,MAIPU,28,1
Buenos Aires,PILA,28,0
Chaco,1§ DE MAYO,27,0
Salta,CHICOANA,27,0
La Pampa,RANCUL,26,6
La Pampa,CHAPALEUFU,26,5
Neuquén,CHOS MALAL,26,4
Neuquén,MINAS,26,3
San Luis,GOBERNADOR DUPUY,26,2
La Rioja,CORONEL FELIPE VARELA,26,1
La Rioja,GENERAL ANGEL V PEÑALOZA,26,1
